seller-sku,asin1,item-name,item-description,listing-id,price,quantity,open-date,product-id-type,item-note,item-condition,will-ship-internationally,expedited-shipping,product-id,pending-quantity,fulfillment-channel,Business Price,Quantity Price Type,Quantity Lower Bound 1,Quantity Price 1,Quantity Lower Bound 2,Quantity Price 2,Quantity Lower Bound 3,Quantity Price 3,Quantity Lower Bound 4,Quantity Price 4,Quantity Lower Bound 5,Quantity Price 5,optional-payment-type-exclusion,scheduled-delivery-sku-set,merchant-shipping-group,standard-price-point,ProductTaxCode
0H-R412-W6Y2,B001DFA02E,"The Illustrated World History: A Record Of World Events From Earliest Historical Times To The Present Day [Hardcover] [Jan 01, 1937] Hammerton, John & Harry E. Barnes, eds.",,0827SM7Y98J,7.99,1,2017-08-27 16:04:37 PDT,1,"Loose spine. Pages unmarked and without highlighting. Some pages slightly torn, though all are intact. Retail price in pencil on title page. No dust cover, and top of spine is frayed.",4,,,B001DFA02E,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0I-M70Z-S1FK,1576754588,"Cracking the Code: How to Win Hearts, Change Minds, and Restore America's Original Vision [Nov 01, 2007] Hartmann, Thom",,0908S3DTVLP,4,1,2017-09-08 11:21:03 PDT,1,,2,,,1576754588,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0K-3ODQ-4OTJ,B0007J1BKW,"Europe, 1914-1939, [Jan 01, 1945] Lipson, E",,1116S7SONW7,11.87,1,2017-11-16 15:34:36 PST,1,"A. And C. Black Ltd., 1962. Eighth Edition. Good condition. Binding tight. Moderate wear on the dust jacket. No notes, underlining, or highlighting on the pages. Ex libris, with a stamp on the title page. Remainder mark on top page edges. Price clipped. Includes fold-out maps in very good condition.",3,,,B0007J1BKW,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0K-VJGD-YK5I,B002QCK5PU,"Lt. John F. Kennedy- Expendable! [Mass Market Paperback] [Jan 01, 1964] Whipple, Chandler",,0827SM7YO61,2.51,1,2017-08-27 16:04:45 PDT,1,,2,,,B002QCK5PU,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0KZ-FZA-9ZN,B000IZECYC,"Bulfinch's Age of Chivalry or King Arthur and His Knights [Hardcover] [Jan 01, 1900] Bulfinch, Thomas, edited by Rev. J. Loughran Scott",,0827SM7YC4P,4.99,1,2017-08-27 16:04:38 PDT,1,,2,,,B000IZECYC,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0L7-9FC-0EG,679414894,"United States: Essays 1952-1992 [May 18, 1993] Vidal, Gore",,0828SQ7UJED,9,1,2017-08-28 14:43:24 PDT,1,"No dust cover. Pages clean and unmarked, binding tight.",4,,,679414894,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0N-AOKC-J10F,743270665,"State of War: The Secret History of the CIA and the Bush Administration [Jan 03, 2006] Risen, James",,0912SIXUD9J,4,1,2017-09-12 15:36:39 PDT,1,,2,,,743270665,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0N-TKM9-NVW9,1566566592,"9/11 and American Empire: Intellectuals Speak Out, Vol. 1 [Paperback] [Aug 23, 2006] Griffin, David Ray and Scott, Peter Dale",,0908S374CAV,3,1,2017-09-08 10:00:47 PDT,1,,3,,,1566566592,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0O-8X34-MM90,B0007DQCNY,"Stalin must have peace, [Jan 01, 1947] Snow, Edgar",,1205SBSFTU7,4.5,1,2017-12-04 16:38:10 PST,1,"Random House, 1947. No dust jacket, otherwise in very good condition. Cover in excellent condition with slight bumping on edges. Binding tight. No notes, underlining, or highlighting on the pages.",3,,,B0007DQCNY,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0P-14YQ-TVBB,895261235,"Shooting Straight: Telling the Truth About Guns in America [Hardcover] [Jul 25, 2002] Lapierre, Wayne and Baker, James Jay",,0827SM7YHBD,5,1,2017-08-27 16:04:39 PDT,1,,1,,,895261235,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0P-1V81-65ZW,404154190,"The Piebald Standard: A Biography of the Knights Templars [Hardcover] [Jun 01, 1977] Simon, Edith",,0827SM7YJL1,10.99,1,2017-08-27 16:04:42 PDT,1,,8,,,404154190,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0P-EQQD-RA73,895262258,"The Venona Secrets, Exposing Soviet Espionage and America's Traitors [Oct 01, 2001] Herbert Romerstein and Eric Breindel",,0827SM7YNUD,5,1,2017-08-27 16:04:43 PDT,1,,1,,,895262258,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0P-GERN-O1T6,895771462,"Mysteries of the Unexplained [May 01, 1993] Carroll C. Calkins",,0911SD15CID,5,1,2017-09-11 15:26:24 PDT,1,,2,,,895771462,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0PC-H0H-QWB,B0006BV232,"The Case Against Congress [Jan 01, 1968] Drew Pearson and Jack Anderson",,1012SEMQ7WD,4,1,2017-10-12 15:17:52 PDT,1,"Simon and Schuster, 1968. First Printing. Missing dust jacket, otherwise in very good condition. Minimal shelf wear. Dust jacket in very good condition. Binding tight. No notes, underlining, or highlighting on pages.",8,,,B0006BV232,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0Q-FLOB-QOS3,811700844,"Beyond Baghdad: Postmodern War and Peace [Sep 01, 2003] Peters, Ralph",,0828SQ8098D,5,1,2017-08-28 14:46:51 PDT,1,,1,,,811700844,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0R-B4GE-WPBG,465005233,"Rudy! An Investigative Biography Of Rudolph Giuliani [Jul 25, 2000] Barrett, Wayne",,0907SV20YF1,5,1,2017-09-06 17:49:25 PDT,1,,2,,,465005233,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0R-PWH8-S78W,300054092,"Taxation and Democracy: Swedish, British and American Approaches to Financing the Modern State [Nov 01, 1993] Steinmo, Sven",,0827SM7YQQJ,18,1,2017-08-27 16:04:46 PDT,1,,3,,,300054092,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0ST-D3G-O9E,B00085JI9Q,"You can't print that!: The truth behind the news, 1918-1928 [Jan 01, 1929] Seldes, George",,0906SUSS5ED,20,1,2017-09-06 16:06:55 PDT,1,,6,,,B00085JI9Q,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0T-1OB7-7454,30490367,"The Rosenberg File: A Search for the Truth [Sep 01, 1983] Radosh, Ronald and Milton, Joyce",,0828SQ7ZQBJ,5,1,2017-08-28 14:46:06 PDT,1,,4,,,30490367,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0U-9G6I-EZVI,806508574,"A History Of Secret Societies [Nov 01, 2000] Arkon Daraul",,0320UDN8P8J,3,1,2018-03-20 15:49:12 PDT,1,"Citadel Press, 1961. Second Printing. Spine strong, binding tight, pages clean and unmarked. Creased back cover.",3,,,806508574,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0U-M6L2-6PT9,137111010,"Privilege in America;: An end to inequality? (A Spectrum book) [Jan 01, 1974] Shostak, Arthur B",,1012SELJJ47,7,1,2017-10-12 14:55:39 PDT,1,"Prentice-Hall, 1973. First Edition with full number line. Good condition. Has some wear and slight tearing on spine. Pages clean and unmarked.",3,,,137111010,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0VN-41J-OLV,B000Q34O26,"Coup d'Etat: A Practical Handbook [Hardcover] [Jan 01, 1969] Luttwak, Edward N.",,0827SM7YRXV,44,1,2017-08-27 16:04:48 PDT,1,,6,,,B000Q34O26,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0Y-J654-V615,743265947,"The Bomb in the Basement: How Israel Went Nuclear and What That Means for the World [Jan 03, 2006] Karpin, Michael",,0909S4J8JOD,5,1,2017-09-08 17:45:29 PDT,1,,2,,,743265947,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0Y-RTGP-MS8V,896083667,"Necessary Illusions: Thought Control in Democratic Societies [Jul 01, 1999] Noam Chomsky",,0828SQ7YQA1,3,1,2017-08-28 14:45:21 PDT,1,,3,,,896083667,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
11-9B5Y-XCHT,739424416,"War on Terror: Unfolding Bible Prophecy [Hardcover] [Jan 01, 2002] Grant Jeffrey",,1012SB43HLD,3,1,2017-10-11 17:42:31 PDT,1,Good condition. Some discoloration on edges of dust jacket. Pages clean and unmarked.,3,,,739424416,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
11-YKEP-WQ64,64911217,"Marx and the Marxists;: An outline of practice and theory [Jan 01, 1973] Childs, David",,0912SIGSBVD,15,1,2017-09-12 14:21:25 PDT,1,,2,,,64911217,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
13-1OAJ-GN1L,61224960,"Gods of the Cataclysm: A revolutionary investigation of man and his gods before and after the Great Cataclysm [Jan 01, 1976] Fox, Hugh",,0828SQ80FRD,5,1,2017-08-28 14:47:16 PDT,1,,2,,,61224960,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
14-70P0-OOTQ,385131399,"The Great Fetish [Jan 01, 1978] De Camp, L. Sprague",,0827SM7YU0V,3,1,2017-08-27 16:04:48 PDT,1,,4,,,385131399,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
14Z-EJL-NMA,B00DQBSHAA,"Shakespeare's Comedy of Love's Labour's Lost [Hardcover] [Jan 01, 1898] Edited by William J Rolfe",,0827SM7YV1J,27.99,1,2017-08-27 16:04:50 PDT,1,,3,,,B00DQBSHAA,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
15-3EO4-61SC,679418989,"Flaubert-Sand: The Correspondence [Hardcover] [Jan 26, 1993] Gustave Flaubert; F. Steegmuller & B. Bray and Francis Steegmuller",,0827SM7YWXV,3,1,2017-08-27 16:04:51 PDT,1,,3,,,679418989,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
15-3RDG-Y2UJ,385032773,"Earthwalk [Jan 01, 1974] Slater, Philip Elliot",,0827SM7YYCP,4.96,1,2017-08-27 16:04:52 PDT,1,,3,,,385032773,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
15-5Q0R-7306,394719948,"Homeless Mind: Modernization and Consciousness [Jan 12, 1974] Berger, Peter L.",,0907S038PKV,7.5,1,2017-09-07 16:33:27 PDT,1,,3,,,394719948,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
16-Y9V3-RTQV,872262375,"Kristallnacht: The Unleashing of the Holocaust [Sep 01, 1990] Read, Anthony and Fisher, David",,0906SUTFT6J,4,1,2017-09-06 16:18:06 PDT,1,,2,,,872262375,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
17-GQMD-ZB6G,446300888,"Re-Inventing the Corporation: Transforming Your Job and Your Company for the New Information Society [Sep 01, 1986] Naisbitt, John and Aburdene, Patricia",,0409UWGEW0V,2.5,1,2018-04-09 13:17:31 PDT,1,"Warner Books, 1985. Cover in excellent condition. Binding tight, pages clean and unmarked.",2,,,446300888,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
18-ZIEV-NADR,1740591186,"Lonely Planet Costa Rica [Oct 01, 2002] Rachowiecki, Rob",,0827SM7TYB1,3,1,2017-08-27 16:03:14 PDT,1,,2,,,1740591186,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
19-0THU-166E,B000OI6FAC,"Wally Woods Thunder Agents, Vol 1 #5 (Comic Book) [Paperback] [Jan 01, 1986] DELUXE COMICS",,0827SM7ZXCP,3,1,2017-08-27 16:05:44 PDT,1,,3,,,B000OI6FAC,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1B4-YZI-XQI,B00448KVQC,"In the Court of Public Opinion (Borzoi Books) [Hardcover] [Jan 01, 1957] Alger Hiss",,0906SUQ5UDJ,5,1,2017-09-06 15:33:26 PDT,1,"First Edition, Borzoi Books, 1957. Dust cover missing, otherwise in very good condition.",8,,,B00448KVQC,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1E-ZWIS-KRLH,B0007EFMP2,"Behavior in public places: Notes on the social organization of gatherings (Free Press paperback) [Jan 01, 1966] Goffman, Erving",,1116S76DOUV,14,1,2017-11-16 11:47:14 PST,1,"Free Press, 1968. Third Printing. Very good condition. Cover in very good condition. Binding tight. No notes, underlining, or highlighting on the pages.",2,,,B0007EFMP2,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1GF-YIJ-KRQ,B0023US4IK,"Design for Power the Struggle for the Wo [Hardcover] [Jan 01, 1941] Schuman, Frederick L",,0908S2PCAW1,20,1,2017-09-08 06:50:21 PDT,1,"Borzoi Books, 1941. First Edition. No dust jacket, some bumping and aging of panels. Binding tight, pages clean and unmarked.",6,,,B0023US4IK,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1GK-BW0-OZS,B00AD9E19E,"Mister X, Number One (Premiere Issue: June 1984) [Comic] [Jan 01, 1984] Jaime Hernandez; Gilbert Hernandez; Dean Motter and Paul Rivoche",,0827SM7ZY1P,5.96,1,2017-08-27 16:05:45 PDT,1,,3,,,B00AD9E19E,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1H-4IN2-UUAE,964053004,"At the Expense of Victory: A Desert Storm Diary of News Media Coverage [Feb 01, 1995] Demello, Ed",,1116S7R6E07,3,1,2017-11-16 15:15:13 PST,1,"Very good condition. Cover in very good condition with mild shelf wear. Binding tight. No notes, underlining, or highlighting on the pages.",2,,,964053004,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1J-L0KD-GK5T,312306210,"Inside 9-11: What Really Happened [Mar 11, 2002] Der Spiegel",,0908S09U5L7,5,1,2017-09-07 17:41:19 PDT,1,,2,,,312306210,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1K-9ASQ-MYVQ,B00NG33ODS,"Grendel (2nd Series) #11 [Comic] [Jan 01, 1987]",,0827SM7ZYLP,5,1,2017-08-27 16:05:46 PDT,1,,3,,,B00NG33ODS,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1L-AROD-3ZYC,B0006X0LEG,"The madams of San Francisco: An irreverent history of the city by the Golden Gate / Curt Gentry [Jan 01, 1971] Gentry, Curt",,0409UWFW5ZV,50,1,2018-04-09 13:10:19 PDT,1,"Ballantine Books, 1964. Signed by the author on the title page. Cover in very good condition. Binding tight, pages clean and unmarked.",6,,,B0006X0LEG,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1L-TH5N-WGFR,872864049,"September 11 and the U.S. War: Beyond the Curtain of Smoke [Feb 01, 2002] Burbach, Roger and Clarke, Ben",,0907SUYV747,3,1,2017-09-06 17:18:22 PDT,1,,2,,,872864049,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1M-A6GZ-YLPG,393325318,"Militant Islam Reaches America [Paperback] [Sep 17, 2003] Pipes, Daniel",,0827SM7U2SP,4,1,2017-08-27 16:03:16 PDT,1,,1,,,393325318,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1M-PB6L-AIQW,895263335,"Year of the Rat: How Bill Clinton Compromised U.S. Security for Chinese Cash [Oct 01, 1998] Edward Timperlake and William C. Triplett II",,0915SX6VVID,4,1,2017-09-15 12:56:08 PDT,1,"Very good condition! Minimal shelf wear. Dust jacket in very good condition. Binding tight. No notes underlining, or highlighting on pages.",2,,,895263335,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1N-W2WI-RYVG,B0012LBOXS,"The Theory of Business Enterprise [Mass Market Paperback] [Jan 01, 1932] Thorstein Veblen",,0827SM7YPHJ,7.98,1,2017-08-27 16:04:46 PDT,1,,4,,,B0012LBOXS,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1O-IW5T-QCAS,B005FC51IE,"Zone Continuum #1 (Variation B) Maroon Border [Comic] [Jan 01, 1992] Bruce Zick",,0827SM7ZZ37,3.99,1,2017-08-27 16:05:47 PDT,1,,3,,,B005FC51IE,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1R-GVWC-AKOL,963416308,"Votescam: The Stealing of America [Dec 01, 1992] Collier, James M. and Collier, Kenneth F.",,1113SW6ORMV,27.22,1,2017-11-13 13:07:59 PST,1,"Very good condition. Cover in very good condition. No notes, underlining, or highlighting on the pages.",2,,,963416308,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1R-KI0D-Y9OA,805009086,"The Age of Manipulation: The Con in Confidence, the Sin in Sincere [May 01, 1989] Key, Wilson Bryan",,0908S04SKN7,11,1,2017-09-07 17:03:51 PDT,1,,2,,,805009086,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1U-5LO4-AYJ7,671248480,"The Great Fear: The Anti-Communist Purge Under Truman and Eisenhower [May 01, 1979] David Caute",,0908S3MJT1D,7.3,1,2017-09-08 12:13:49 PDT,1,,3,,,671248480,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1W-0G6U-6KH7,B003XG5T8Q,"Behind the Scenes of Third Reich Diplomacy [Paperback] [Jan 01, 1984] Rozanov, Herman",,0403UGH1SL7,100,1,2018-04-03 10:06:16 PDT,1,"Progress Publishers, 1984. Printed in the Union of Soviet Socialist Republics. Cover in excellent condition. Binding tight, pages clean and unmarked.",6,,,B003XG5T8Q,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1W-5D83-LRN2,B002DTCKT0,"The Red Garden [Hardcover] [Jan 01, 1922] KEHLER, Henning",,0827SM7Z04V,25,1,2017-08-27 16:04:54 PDT,1,Binding tight. Pages clean and unmarked.,2,,,B002DTCKT0,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
1X-QLW4-VLPN,1881532208,"Mass Control: Engineering Human Consciousness [Dec 01, 1999] Keith, Jim",,0907SV1QJE7,4.37,1,2017-09-06 17:48:28 PDT,1,,2,,,1881532208,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
21-206M-F1CW,935028528,"No Free Lunch: Food and Revolution in Cuba Today [Jun 01, 1989] Benjamin, Medea; Collins, Joseph and Scott, Michael",,0828SQ7WXXD,5.68,1,2017-08-28 14:44:13 PDT,1,,2,,,935028528,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
21-8KG8-OD63,743287231,"The Jesus Dynasty: The Hidden History of Jesus, His Royal Family, and the Birth of Christianity [Apr 04, 2006] Tabor, James D.",,1012SB2XQXJ,4,1,2017-10-11 17:07:18 PDT,1,,2,,,743287231,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
21G-U4E-46O,896081001,"After the Cataclysm: The Political Economy of Human Rights: Volume II [Jan 01, 1979] Chomsky, Noam and Herman, Edward S.",,0828SQ7V0D7,2.76,1,2017-08-28 14:43:32 PDT,1,,2,,,896081001,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
22-F7S1-8ALN,1401302939,"Static: Government Liars, Media Cheerleaders, and the People Who Fight Back [Hardcover] [Sep 05, 2006] Goodman, Amy and Goodman, David",,0827SM7Z3F7,5,1,2017-08-27 16:04:55 PDT,1,,1,,,1401302939,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
23-HPP4-KZZ9,393331490,"Lies, Damn Lies, and Statistics: The Manipulation of Public Opinion in America [Paperback] [Jun 01, 1976] Wheeler, Michael",,0827SM7U631,9.44,1,2017-08-27 16:03:19 PDT,1,,3,,,393331490,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
24-SGW8-Z8YX,1878825100,"Who Killed JFK? (The Real Story Series) [Paperback] [Jul 01, 2002] Oglesby, Carl",,0827SM7U8U7,3,1,2017-08-27 16:03:21 PDT,1,,2,,,1878825100,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
25-I9AK-Y7EF,440213851,"Conspiracies, Cover-ups [Oct 03, 1992] Vankind, Jonathan",,0828SQ7YAMP,2.24,2,2017-08-28 14:45:04 PDT,1,,2,,,440213851,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
25-SUAP-POKG,837160510,"Age of Suspicion [Jan 01, 1953] James Arthur Wechsler",,0827SM7Z4WJ,6.05,1,2017-08-27 16:04:58 PDT,1,,6,,,837160510,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
27-OLCX-69D9,60011831,"The Epidemic: The Rot of American Culture, Absentee and Permissive Parenting, and the Resultant Plague of Joyless, Selfish Children [Sep 23, 2003] Shaw M.D., Robert",,0908S3YCASP,4,1,2017-09-08 15:17:15 PDT,1,,2,,,60011831,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
28K-OWE-FW2,B002EJ2JKY,"Chariots of the Gods? : Unsolved Mysteries of the Past -- First 1st American Edition, Translated By Michael Heron [Hardcover] [Jan 01, 1970] von Daniken, Erich",,0908S3XZLGJ,45,1,2017-09-08 15:02:17 PDT,1,"First American Edition, 1970. Binding tight, pages clean and unmarked. Small tear on edge of dust cover reinforced with tape.",7,,,B002EJ2JKY,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
28R-B67-UD5,B004BGWF1G,"Flying Saucers-Serious Business [Mass Market Paperback] [Jan 01, 1966] Frank Edwards",,1011SB2Q127,3,1,2017-10-11 16:59:39 PDT,1,"Very good condition. Minimal shelf wear. Binding tight. No notes underlining, or highlighting on pages.",2,,,B004BGWF1G,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
2AX-4CF-MRH,B00089LUMU,"The decline and fall of the Roman empire (Nations of the world) [Jan 01, 1900] Gibbon, Edward",,0828SQ7YP57,11.85,1,2017-08-28 14:45:22 PDT,1,"Nations of the World, Gibbon's Rome Volume V",3,,,B00089LUMU,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
2B-MAIA-EY6I,B000QBA864,"Good Years From 1900 To the First World War [Hardcover] [Jan 01, 1960] Walter Lord",,1116S7SEQA1,15,1,2017-11-16 15:30:51 PST,1,"Harper & Brothers, 1960. First Edition. Very good condition. Dust jacket in very good condition with mild wear on edges of the spine. Binding tight. No notes, underlining, or highlighting on the pages.",6,,,B000QBA864,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
2C3-SZ3-5C5,B0000CHS35,"Seeds Of Treason: The True Story of the Hiss-Chambers Tragedy [Hardcover] [Jan 01, 1950] TOLEDANO, Ralph de & Victor Lasky",,0908S3622KJ,4.79,1,2017-09-08 09:46:29 PDT,1,,4,,,B0000CHS35,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
2D-HT7Q-C9MJ,812921801,"Shining Path : Terror and Revolution in Peru [Hardcover] [Mar 09, 1993] Strong, Simon",,0327UZYRKI7,19,1,2018-03-27 15:43:42 PDT,1,"Times Books, 1992. First U.S. edition, second printing. Dust jacket in excellent condition. Binding tight, pages clean and unmarked.",2,,,812921801,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
2D-P257-FHPD,520059700,"The U.S. Press and Iran: Foreign Policy and the Journalism of Deference [Hardcover] [Nov 01, 1987] Dorman, William A. and Farhang, Mansour",,1113SVMTS6V,100,1,2017-11-13 10:53:37 PST,1,"University of California Press, 1987. Review copy, pre-first edition. Signed and inscribed by author Bill Dorman to the San Francisco World Affairs Council on fly leaf. World Affairs Council Library stamp on title page. Very good condition. Dust jacket in very good condition, protected by plastic wrapping. No notes, underlining, or highlighting on the pages.",6,,,520059700,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
2E-Q9ES-TYZG,B0007EGOT0,"The secret destiny of America [Jan 01, 1958] Hall, Manly Palmer",,0827SM7Z5TV,120,1,2017-08-27 16:05:00 PDT,1,,3,,,B0007EGOT0,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
